Original,id_Publisher
Namco Bandai Games,1
Electronic Arts,2
Activision,3
Atlus,4
D3Publisher,5
MC2 Entertainment,6
Nippon Ichi Software,7
Nintendo,8
Codemasters,9
505 Games,10
Eidos Interactive,11
Midas Interactive Entertainment,12
Take-Two Interactive,13
Sony Computer Entertainment,14
Nordic Games,15
Ubisoft,16
Acclaim Entertainment,17
LucasArts,18
Vivendi Games,19
Disney Interactive Studios,20
Capcom,21
Marvelous Interactive,22
Square EA,23
THQ,24
Midway Games,25
Atari,26
MTV Games,27
Sega,28
SCi,29
Kalypso Media,30
Microsoft Game Studios,31
Indie Games,32
Konami Digital Entertainment,33
Interplay,34
Gamecock,35
Square Enix,36
Warner Bros. Interactive Entertainment,37
Rising Star Games,38
Infogrames,39
Deep Silver,40
Little Orbit,41
Agetec,42
1C Company,43
SquareSoft,44
Tecmo Koei,45
Universal Interactive,46
Telltale Games,47
Empire Interactive,48
Sony Computer Entertainment Europe,49
XS Games,50
Black Bean Games,51
Metro 3D,52
Xseed Games,53
Milestone S.r.l.,54
Slightly Mad Studios,55
Majesco Entertainment,56
NCSoft,57
Unknown,58
System 3,59
Global Star,60
Playlogic Game Factory,61
Zoo Digital Publishing,62
Idea Factory International,63
Virgin Interactive,64
Tomy Corporation,65
BAM! Entertainment,66
Reef Entertainment,67
Ignition Entertainment,68
Trion Worlds,69
Agatsuma Entertainment,70
Bethesda Softworks,71
Avanquest,72
Number None,73
EA Games,74
Compile Heart,75
Spike,76
Milestone S.r.l,77
Activision Value,78
Takara Tomy,79
3DO,80
Oxygen Interactive,81
Swing! Entertainment,82
PQube,83
Valve,84
Marvelous Entertainment,85
Team17 Software,86
Ubisoft Annecy,87
SouthPeak Games,88
Enix Corporation,89
PopCap Games,90
Focus Home Interactive,91
DreamCatcher Interactive,92
Ghostlight,93
Paradox Interactive,94
Stainless Games,95
Microids,96
Ackkstudios,97
Gathering of Developers,98
Avalon Interactive,99
Gust,100
NovaLogic,101
Hip Interactive,102
Touchstone,103
Taito,104
FuRyu,105
Rebellion,106
Yacht Club Games,107
Sony Computer Entertainment America,108
NewKidCo,109
Game Factory,110
Acquire,111
Falcom Corporation,112
Crave Entertainment,113
Dusenberry Martin Racing,114
Idea Factory,115
Jaleco,116
Screenlife,117
TDK Mediactive,118
Destineer,119
Genki,120
Gearbox Software,121
Success,122
Tetris Online,123
GungHo,124
From Software,125
Zushi Games,126
CCP,127
AQ Interactive,128
Kemco,129
Aspyr,130
DTP Entertainment,131
Global A Entertainment,132
id Software,133
Jester Interactive,134
GOA,135
Nobilis,136
10TACLE Studios,137
Zoo Games,138
Aksys Games,139
Human Entertainment,140
Gotham Games,141
Black Label Games,142
JoWood Productions,143
ASCII Entertainment,144
Play It,145
Arc System Works,146
Graffiti,147
Ascaron Entertainment GmbH,148
Media Rings,149
Tripwire Interactive,150
GT Interactive,151
RTL,152
Harmonix Music Systems,153
ESP,154
Strategy First,155
Natsume,156
Koch Media,157
Titus,158
Introversion Software,159
Groove Games,160
System 3 Arcade Software,161
Brash Entertainment,162
Graphsim Entertainment,163
Square Enix ,164
Evolved Games,165
Navarre Corp,166
Mastertronic,167
Rage Software,168
Aqua Plus,169
Visco,170
FuRyu Corporation,171
NDA Productions,172
The Adventure Company,173
Hasbro Interactive,174
Mastiff,175
Sony Online Entertainment,176
Sting,177
Scholastic Inc.,178
PM Studios,179
White Park Bay Software,180
Valve Software,181
Lighthouse Interactive,182
City Interactive,183
Insomniac Games,184
Pacific Century Cyber Works,185
Banpresto,186
Mercury Games,187
TalonSoft,188
Funcom,189
Iceberg Interactive,190
Enterbrain,191
Maxis,192
Phantagram,193
Rondomedia,194
Psygnosis,195
Sold Out,196
Hudson Entertainment,197
RedOctane,198
"Destination Software, Inc",199
Xplosiv,200
Wanadoo,201
Nihon Falcom Corporation,202
Russel,203
bitComposer Games,204
Valcon Games,205
Funbox Media,206
HMH Interactive,207
Max Five,208
Hudson Soft,209
Revolution Software,210
Irem Software Engineering,211
DHM Interactive,212
Home Entertainment Suppliers,213
Sammy Corporation,214
Pinnacle,215
5pb,216
Wargaming.net,217
Just Flight,218
Mindscape,219
Crimson Cow,220
O3 Entertainment,221
Kool Kizz,222
Fox Interactive,223
Bigben Interactive,224
Tru Blu Entertainment,225
Cloud Imperium Games Corporation,226
Level 5,227
Myelin Media,228
Bohemia Interactive,229
inXile Entertainment,230
Moss,231
Rebellion Developments,232
Mad Catz,233
Illusion Softworks,234
Telegames,235
Popcorn Arcade,236
Encore,237
2D Boy,238
Conspiracy Entertainment,239
