Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Gallop & Ride!,Wii,2008.0,Sports,THQ,0.13,0.0,0.0,0.01,0.14,,,,,,
Yu-Gi-Oh! Zexal World Duel Carnival,3DS,2013.0,Misc,Konami Digital Entertainment,0.0,0.08,0.08,0.01,0.17,,,,,,
SD Gundam G Generation: Cross Drive,DS,2007.0,Strategy,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,,,,,,
Dragon Ball Z: Ultimate Tenkaichi,PS3,2011.0,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.07,0.61,58.0,26.0,5.4,77.0,Spike,T
Goosebumps: The Game,3DS,2015.0,Adventure,WayForward Technologies,0.05,0.0,0.0,0.01,0.05,,,tbd,,WayForward,E10+
NFL Head Coach 09,X360,2008.0,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.11,67.0,14.0,8.4,28.0,EA Tiburon,E
Super Puyo Puyo 2,SNES,1995.0,Puzzle,Compile,0.0,0.0,0.47,0.0,0.47,,,,,,
Need for Speed (2015),XOne,2015.0,Racing,Electronic Arts,0.3,0.33,0.0,0.06,0.69,,,,,,
Rush,PSP,2006.0,Racing,Midway Games,0.11,0.0,0.0,0.01,0.12,55.0,12.0,tbd,,Midway Studios - Newcastle,T
Madagascar: Escape 2 Africa,PS3,2008.0,Action,Activision,0.12,0.08,0.0,0.03,0.23,58.0,13.0,6.8,4.0,Toys for Bob,E10+
Games Explosion!,GBA,2006.0,Action,THQ,0.01,0.0,0.0,0.0,0.02,,,,,,
MLB 16: The Show,PS3,2016.0,Action,Sony Computer Entertainment,0.16,0.0,0.0,0.04,0.19,,,,,,
Shin Megami Tensei: Persona 4,PS2,2008.0,Role-Playing,Atlus,0.34,0.04,0.36,0.08,0.82,90.0,47.0,8.9,634.0,Atlus Co.,M
Whacked!,XB,2002.0,Misc,Microsoft Game Studios,0.07,0.02,0.0,0.0,0.09,,,,,,
