Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
1,2008.0,1.0,1.0,0.13,0.0,0.0,0.01,0.14,-1.0,-1.0,-1.0,-1.0,,-1
2,2013.0,2.0,2.0,0.0,0.08,0.08,0.01,0.17,-1.0,-1.0,-1.0,-1.0,,-1
3,2007.0,3.0,3.0,0.0,0.0,0.26,0.0,0.26,-1.0,-1.0,-1.0,-1.0,,-1
4,2011.0,4.0,3.0,0.27,0.18,0.09,0.07,0.61,58.0,26.0,5.4,77.0,1.0,1
2,2015.0,5.0,4.0,0.05,0.0,0.0,0.01,0.05,-1.0,-1.0,-1.0,-1.0,2.0,3
5,2008.0,1.0,5.0,0.11,0.0,0.0,0.01,0.11,67.0,14.0,8.4,28.0,3.0,0
6,1995.0,6.0,6.0,0.0,0.0,0.47,0.0,0.47,-1.0,-1.0,-1.0,-1.0,,-1
7,2015.0,7.0,5.0,0.3,0.33,0.0,0.06,0.69,-1.0,-1.0,-1.0,-1.0,,-1
8,2006.0,7.0,7.0,0.11,0.0,0.0,0.01,0.12,55.0,12.0,-1.0,-1.0,4.0,1
4,2008.0,8.0,8.0,0.12,0.08,0.0,0.03,0.23,58.0,13.0,6.8,4.0,5.0,3
9,2006.0,8.0,1.0,0.01,0.0,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
4,2016.0,8.0,9.0,0.16,0.0,0.0,0.04,0.19,-1.0,-1.0,-1.0,-1.0,,-1
10,2008.0,9.0,10.0,0.34,0.04,0.36,0.08,0.82,90.0,47.0,8.9,634.0,6.0,2
11,2002.0,2.0,11.0,0.07,0.02,0.0,0.0,0.09,-1.0,-1.0,-1.0,-1.0,,-1
5,2013.0,10.0,12.0,0.06,0.03,0.05,0.01,0.15,68.0,25.0,8.1,63.0,7.0,2
12,2005.0,10.0,13.0,0.0,0.01,0.0,0.0,0.02,76.0,13.0,8.0,142.0,8.0,2
12,2012.0,8.0,14.0,0.0,0.03,0.0,0.0,0.03,84.0,30.0,8.3,1010.0,9.0,-1
3,2012.0,9.0,15.0,2.79,1.72,3.14,0.41,8.07,-1.0,-1.0,-1.0,-1.0,,-1
13,2014.0,9.0,16.0,0.03,0.01,0.02,0.02,0.08,72.0,28.0,8.3,35.0,10.0,1
3,2008.0,9.0,17.0,0.0,0.0,0.01,0.0,0.01,-1.0,-1.0,-1.0,-1.0,,-1
13,2013.0,9.0,3.0,0.11,0.11,0.09,0.07,0.38,-1.0,-1.0,-1.0,-1.0,,-1
3,2009.0,8.0,15.0,1.4,0.91,0.74,0.26,3.31,87.0,75.0,7.8,228.0,11.0,3
9,2004.0,5.0,,0.13,0.05,0.0,0.0,0.19,-1.0,-1.0,-1.0,-1.0,,-1
4,2009.0,5.0,18.0,0.06,0.03,0.0,0.01,0.1,17.0,11.0,1.7,37.0,12.0,2
12,2012.0,3.0,19.0,0.07,0.1,0.0,0.02,0.2,-1.0,-1.0,-1.0,-1.0,,-1
5,2008.0,3.0,20.0,0.07,0.01,0.0,0.01,0.09,56.0,24.0,5.7,19.0,13.0,3
14,1997.0,9.0,21.0,0.29,0.19,0.46,0.07,1.0,-1.0,-1.0,-1.0,-1.0,,-1
10,2002.0,8.0,22.0,0.19,0.15,0.0,0.05,0.39,67.0,18.0,8.8,19.0,14.0,2
9,2004.0,5.0,23.0,0.17,0.06,0.0,0.0,0.24,-1.0,-1.0,-1.0,-1.0,,-1
8,2005.0,9.0,24.0,0.05,0.0,0.0,0.0,0.06,60.0,29.0,7.7,18.0,15.0,1
10,2004.0,11.0,5.0,0.52,0.95,0.0,0.29,1.76,70.0,25.0,8.2,24.0,16.0,1
4,2015.0,2.0,3.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
5,2012.0,1.0,25.0,0.47,0.0,0.0,0.03,0.5,68.0,19.0,6.4,22.0,17.0,0
9,2002.0,8.0,5.0,0.53,0.2,0.0,0.01,0.74,-1.0,-1.0,-1.0,-1.0,,-1
4,2011.0,8.0,9.0,0.13,0.11,0.0,0.04,0.28,61.0,41.0,6.5,17.0,18.0,3
2,2015.0,9.0,3.0,0.05,0.03,0.08,0.01,0.17,-1.0,-1.0,-1.0,-1.0,,-1
10,2006.0,9.0,26.0,0.0,0.0,0.21,0.0,0.21,-1.0,-1.0,-1.0,-1.0,,-1
14,1998.0,9.0,27.0,0.01,0.01,0.07,0.01,0.1,-1.0,-1.0,-1.0,-1.0,,-1
5,2009.0,2.0,2.0,0.12,0.0,0.0,0.01,0.12,62.0,5.0,-1.0,-1.0,19.0,1
12,2005.0,10.0,8.0,0.0,0.05,0.0,0.01,0.06,86.0,64.0,8.4,626.0,20.0,1
3,2004.0,7.0,3.0,0.14,0.0,0.0,0.01,0.15,63.0,35.0,6.7,7.0,21.0,0
11,2005.0,11.0,5.0,0.19,0.05,0.0,0.01,0.25,75.0,31.0,7.1,8.0,16.0,1
4,2008.0,9.0,9.0,0.33,0.16,0.36,0.08,0.93,64.0,77.0,7.5,213.0,22.0,1
8,2008.0,1.0,5.0,0.65,0.0,0.0,0.06,0.71,68.0,8.0,6.5,4.0,3.0,0
3,2010.0,9.0,10.0,0.19,0.0,0.09,0.01,0.29,85.0,30.0,9.0,81.0,23.0,3
15,2015.0,8.0,28.0,0.0,0.01,0.0,0.0,0.01,67.0,9.0,7.1,35.0,24.0,3
10,2003.0,12.0,9.0,1.44,0.83,0.26,0.25,2.78,-1.0,-1.0,-1.0,-1.0,,-1
7,2014.0,9.0,8.0,0.36,0.24,0.0,0.06,0.66,-1.0,-1.0,-1.0,-1.0,,-1
16,2003.0,10.0,29.0,0.07,0.02,0.0,0.0,0.09,73.0,27.0,7.7,20.0,25.0,2
17,1985.0,6.0,15.0,0.73,0.16,0.4,0.03,1.32,-1.0,-1.0,-1.0,-1.0,,-1
16,2003.0,4.0,30.0,0.0,0.0,0.21,0.01,0.21,-1.0,-1.0,-1.0,-1.0,,-1
3,2008.0,3.0,31.0,0.02,0.0,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
3,2005.0,8.0,8.0,0.14,0.0,0.0,0.01,0.15,78.0,17.0,7.7,10.0,26.0,3
9,2004.0,2.0,,0.12,0.04,0.0,0.0,0.17,-1.0,-1.0,-1.0,-1.0,,-1
10,2002.0,7.0,32.0,0.42,0.32,0.0,0.11,0.85,86.0,31.0,8.2,48.0,27.0,0
4,2012.0,8.0,8.0,0.36,0.49,0.0,0.2,1.06,77.0,21.0,6.3,18.0,5.0,3
5,-1.0,1.0,29.0,0.48,0.25,0.0,0.08,0.81,60.0,48.0,7.6,25.0,28.0,1
4,2010.0,3.0,26.0,0.0,0.0,0.13,0.0,0.13,-1.0,-1.0,-1.0,-1.0,,-1
3,2004.0,11.0,33.0,0.0,0.0,0.08,0.0,0.08,-1.0,-1.0,-1.0,-1.0,,-1
13,2016.0,9.0,34.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
14,1998.0,7.0,18.0,0.03,1.16,0.02,0.11,1.32,-1.0,-1.0,-1.0,-1.0,,-1
18,1998.0,7.0,29.0,0.05,0.01,0.0,0.0,0.06,-1.0,-1.0,-1.0,-1.0,,-1
1,-1.0,2.0,2.0,0.2,0.0,0.0,0.01,0.21,-1.0,-1.0,-1.0,-1.0,29.0,3
10,2010.0,8.0,25.0,0.34,0.01,0.0,0.06,0.41,-1.0,-1.0,-1.0,-1.0,17.0,0
1,2009.0,8.0,35.0,0.07,0.0,0.0,0.01,0.08,-1.0,-1.0,-1.0,-1.0,30.0,3
3,2008.0,3.0,29.0,0.37,0.35,0.0,0.09,0.81,-1.0,-1.0,7.2,9.0,31.0,0
3,2006.0,1.0,5.0,0.04,0.0,0.0,0.0,0.04,43.0,5.0,7.5,4.0,32.0,0
7,2016.0,12.0,5.0,0.09,0.06,0.0,0.01,0.16,72.0,46.0,4.4,266.0,33.0,1
14,1996.0,3.0,36.0,0.0,0.0,0.01,0.0,0.01,-1.0,-1.0,-1.0,-1.0,,-1
10,2002.0,5.0,37.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
3,2011.0,6.0,19.0,0.0,0.0,0.14,0.0,0.14,-1.0,-1.0,-1.0,-1.0,,-1
9,2003.0,1.0,5.0,0.09,0.03,0.0,0.0,0.12,63.0,14.0,-1.0,-1.0,34.0,0
10,2002.0,7.0,8.0,0.06,0.05,0.0,0.02,0.13,73.0,19.0,-1.0,-1.0,35.0,0
12,2000.0,11.0,5.0,0.01,0.03,0.0,0.01,0.05,92.0,38.0,7.9,451.0,16.0,1
18,1998.0,7.0,15.0,0.45,0.33,0.29,0.03,1.1,-1.0,-1.0,-1.0,-1.0,,-1
4,2011.0,9.0,16.0,0.05,0.0,0.18,0.01,0.24,-1.0,-1.0,-1.0,-1.0,,-1
10,2000.0,1.0,5.0,0.27,0.21,0.28,0.07,0.83,-1.0,-1.0,-1.0,-1.0,,-1
3,2009.0,2.0,29.0,0.18,0.0,0.0,0.01,0.2,-1.0,-1.0,-1.0,-1.0,36.0,0
15,2015.0,10.0,15.0,1.54,1.18,1.46,0.26,4.43,81.0,88.0,8.5,1184.0,11.0,3
10,2002.0,7.0,38.0,0.15,0.12,0.0,0.04,0.31,73.0,34.0,8.5,11.0,37.0,0
13,2014.0,5.0,3.0,0.0,0.0,0.06,0.0,0.06,-1.0,-1.0,-1.0,-1.0,,-1
14,1998.0,11.0,2.0,0.0,0.0,0.56,0.04,0.6,-1.0,-1.0,-1.0,-1.0,,-1
4,2007.0,10.0,39.0,0.18,0.26,0.0,0.1,0.54,72.0,31.0,7.4,64.0,38.0,2
9,2005.0,12.0,40.0,0.1,0.04,0.0,0.0,0.14,71.0,5.0,5.5,6.0,39.0,3
3,2011.0,12.0,41.0,0.04,0.01,0.0,0.0,0.05,-1.0,-1.0,-1.0,-1.0,40.0,0
11,2003.0,1.0,5.0,0.15,0.04,0.0,0.01,0.2,82.0,18.0,9.0,9.0,41.0,0
10,2004.0,10.0,22.0,0.39,0.31,0.0,0.1,0.8,80.0,39.0,8.3,43.0,42.0,2
6,1995.0,6.0,15.0,0.0,0.0,0.15,0.0,0.15,-1.0,-1.0,-1.0,-1.0,,-1
4,-1.0,1.0,9.0,0.0,0.16,0.0,0.05,0.21,-1.0,-1.0,-1.0,-1.0,,-1
1,2009.0,8.0,21.0,0.09,0.01,0.0,0.01,0.11,66.0,30.0,6.3,6.0,43.0,1
3,2009.0,2.0,42.0,0.02,0.0,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,44.0,0
12,2008.0,9.0,18.0,0.0,0.01,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,,-1
4,2016.0,9.0,3.0,0.0,0.0,0.12,0.0,0.12,-1.0,-1.0,-1.0,-1.0,,-1
3,2006.0,8.0,21.0,0.39,0.0,0.53,0.03,0.95,-1.0,-1.0,-1.0,-1.0,,-1
3,2009.0,5.0,43.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
19,2000.0,1.0,19.0,0.0,0.0,0.18,0.0,0.18,-1.0,-1.0,-1.0,-1.0,,-1
3,2007.0,8.0,12.0,0.68,0.82,0.0,0.19,1.7,-1.0,-1.0,-1.0,-1.0,,-1
10,2002.0,7.0,39.0,0.01,0.01,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
9,2002.0,12.0,21.0,0.22,0.08,0.24,0.01,0.55,82.0,17.0,8.9,31.0,45.0,0
4,2011.0,9.0,44.0,0.14,0.0,0.07,0.02,0.23,55.0,12.0,7.9,44.0,46.0,3
3,2007.0,9.0,36.0,0.0,0.0,0.04,0.0,0.04,-1.0,-1.0,-1.0,-1.0,,-1
5,2006.0,10.0,29.0,1.09,0.65,0.02,0.2,1.95,88.0,69.0,8.3,225.0,28.0,2
16,2001.0,1.0,5.0,0.14,0.04,0.0,0.0,0.18,81.0,13.0,8.0,9.0,41.0,0
20,1992.0,6.0,15.0,0.56,0.22,0.43,0.03,1.24,-1.0,-1.0,-1.0,-1.0,,-1
5,2007.0,1.0,45.0,0.08,0.02,0.0,0.01,0.11,55.0,32.0,-1.0,-1.0,47.0,0
14,1999.0,9.0,46.0,0.45,0.3,0.0,0.05,0.8,80.0,14.0,8.1,28.0,48.0,1
2,2015.0,8.0,16.0,0.03,0.0,0.0,0.0,0.04,45.0,7.0,5.6,37.0,49.0,3
5,2010.0,8.0,25.0,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,50.0,2
6,1993.0,2.0,47.0,0.0,0.0,0.05,0.0,0.05,-1.0,-1.0,-1.0,-1.0,,-1
9,2003.0,8.0,1.0,0.31,0.12,0.0,0.01,0.44,53.0,6.0,-1.0,-1.0,51.0,0
3,2007.0,4.0,1.0,0.11,0.0,0.0,0.01,0.12,61.0,12.0,6.6,13.0,52.0,1
10,2005.0,9.0,7.0,0.2,0.15,0.0,0.05,0.4,59.0,38.0,5.7,20.0,53.0,1
