Original,id_Developer
Spike,1
WayForward,2
EA Tiburon,3
Midway Studios - Newcastle,4
Toys for Bob,5
Atlus Co.,6
Sandlot,7
Rebellion,8
"Edmund McMillen, Florian Himsl",9
FuRyu,10
Nintendo,11
Team 17,12
Hellbent Games,13
Crystal Dynamics,14
Idea Factory,15
Maxis,16
Visual Concepts,17
Zindagi Games,18
Blitz Games Studios,19
Infinity Ward,20
Namco,21
Level 5,22
Atlus,23
"Neon Studios, Kaiko",24
Ubisoft Paris,25
Vicarious Visions,26
Criterion Games,27
Ubisoft Montreal,28
Konami,29
Revistronic,30
Ubisoft Quebec,31
Exient Entertainment,32
EA DICE,33
Visual Impact,34
Climax Group,35
Ludia Inc.,36
Rainbow Studios,37
Day 1 Studios,38
TOSE,39
Rising Star Games,40
EA Sports,41
Io Interactive,42
Bionic Games,43
UFO Interactive,44
Inti,45
Neverland,46
Bandai Namco Games,47
SquareSoft,48
"Prope, Kadokawa",49
Rockstar San Diego,50
Artificial Mind and Movement,51
Amaze Entertainment,52
Midway,53
Arc System Works,54
Harmonix Music Systems,55
SCEE London Studio,56
Eurocom Entertainment Software,57
Virtuos,58
Sand Grain Studios,59
Neko Entertainment,60
Double Helix Games,61
Appaloosa Interactive,62
Jack of All Games,63
EA Canada,64
Headstrong Games,65
Pivotal Games,66
Page 44 Studios,67
Next Level Games,68
"Majesco Games, Majesco",69
Argonaut Games,70
HotGen,71
"Amaze Entertainment, Griptonite Games",72
IR Gurus Interactive Ltd.,73
Capcom,74
CyberConnect2,75
Gaming Minds Studios,76
Gunnar Games,77
Playground Games,78
Ubisoft,79
Zipper Interactive,80
From Software,81
"Activision, Activision Blizzard",82
Sick Puppies,83
Bungie,84
Aspect,85
Asobo Studio,86
989 Sports,87
"THQ, AWE Games",88
EA Games,89
Ready at Dawn,90
Black Isle Studios,91
Wideload Games Inc.,92
Victor Interactive Software,93
Omega Force,94
Success,95
Tri-Ace,96
UBlart Montpellier,97
Pipe Dream Interactive,98
SimBin,99
Zoe Mode,100
n-Space,101
Digital Eclipse,102
THQ,103
Zono Inc.,104
Legacy Interactive,105
Indies Zero,106
"Artificial Mind and Movement, Polygon Magic",107
"Gearbox Software, 3D Realms",108
LucasArts,109
Icon Games,110
Farmind Ltd,111
Venom Games,112
Intelligent Systems,113
"Pipeworks Software, Inc.",114
Acclaim,115
BioWare,116
Blue Castle Games,117
EA Bright Light,118
Traveller's Tales,119
Guerrilla,120
TT Fusion,121
Black Lantern Studios,122
"Game Arts, Japan Art Media (JAM)",123
FUN Labs,124
Telegames,125
Gorilla Systems,126
Treyarch,127
Koei,128
Epic Games,129
Techland,130
Cauldron Ltd.,131
Arika,132
Guildford Studio,133
"Battlefront.com, 1C, 1C Company",134
M4 Limited,135
Crytek,136
"Neversoft Entertainment, BudCat",137
Namco Bandai Games,138
SCEJ,139
Codemasters,140
49Games,141
Creative Assembly,142
Sumo Digital,143
Now Production,144
Square Enix,145
Irem,146
Electronic Arts,147
SuperVillain Studios,148
"Bandai Namco Games, Artdink",149
Logris Games,150
"Luxoflux, Inc.",151
Infogrames,152
Shiny Entertainment,153
Clover Studio,154
Avalanche Software,155
"THQ, 1C, 1C Company",156
Activision,157
Altron,158
Torus Games,159
Bethesda Softworks,160
"Ambrella, The Pokemon Company",161
Reflections Interactive,162
Marvelous,163
HAL Labs,164
Yuke's,165
Team Ninja,166
"Z-Axis, Ltd.",167
Terminal Reality,168
Other Ocean Interactive,169
Gust,170
The Fun Pimps Entertainment LLC,171
EA LA,172
Taito Corporation,173
Deep Silver,174
TT Games,175
Warthog,176
Microvision,177
Sega,178
Griptonite Games,179
SCEA,180
Core Design Ltd.,181
Eutechnyx,182
"Ubisoft, FunHouse",183
Kojima Productions,184
Sanzaru Games,185
Easy Interactive,186
City Interactive,187
"Sega, Tom Create",188
Mobius Entertainment,189
SCE Japan Studio,190
High Voltage Software,191
Kaos Studios,192
Gearbox Software,193
Juice Games,194
Natsume,195
Dreamcatcher,196
Cat Daddy Games,197
Piranha Games,198
MBA International,199
"Activision, Behaviour Interactive",200
Heavy Iron Studios,201
Razorworks,202
4J Studios,203
HB Studios Multimedia,204
Nippon Ichi Software,205
Crave,206
Noise Inc.,207
Secret Level,208
Trickstar Games,209
Gaijin Entertainment,210
"Nintendo, Nd Cube",211
1st Playable Productions,212
Racjin,213
Attention To Detail,214
Milestone S.r.l,215
Humongous Entertainment,216
Ivory Tower,217
Gameness Art Software,218
343 Industries,219
Kush Games,220
Access Games,221
SCEE,222
Melbourne House,223
Point of View,224
Slitherine,225
Vingt-et-un Systems,226
Cranky Pants Games,227
Saber Interactive,228
ArenaNet,229
Airtight Games,230
Sonic Team,231
N-Fusion Interactive Entertainment Corp.,232
Radical Entertainment,233
Hypnos,234
"Zoe Mode, HB Studios Multimedia",235
Volition Inc.,236
"Namco Bandai Games America, Namco Bandai Games",237
505 Games,238
h.a.n.d. Inc.,239
Falcom,240
"HAL Labs, Creatures Inc.",241
Art,242
SNK Playmore,243
Genius Sonority Inc.,244
"Torus Games, Little Orbit",245
Endemol,246
ApolloSoft,247
Kuju Entertainment,248
Micro Cabin,249
Tecmo,250
Slightly Mad Studios,251
Novarama,252
Telltale Games,253
SCEA San Diego Studios,254
KCET,255
SCE Santa Monica,256
Marvelous Inc.,257
Quicksilver Software,258
RFX Interactive,259
2K Marin,260
Bugbear,261
"Gameinvest, Seed Studios, Lda",262
Beyond Reality,263
MagicWand,264
Edge of Reality,265
Gusto Games,266
Carbine Studios,267
EA Redwood Shores,268
"Climax Group, Climax Studios",269
Bohemia Interactive,270
Digital Kids,271
Compile Heart,272
1C: Maddox Games,273
"Io Interactive, Nixxes Software",274
System 3,275
5TH Cell,276
Blue Fang Games,277
Swordfish Studios,278
Disney Interactive Studios,279
"Treyarch, Infinity Ward",280
Hydravision,281
Oxygen Interactive,282
Opus,283
Creat Studios,284
Tate Interactive,285
4A Games,286
Backbone Vancouver,287
Behaviour Interactive,288
Ghost Games,289
Blitz Games,290
Eighting,291
Iron Galaxy Studios,292
GCP1,293
React Games,294
Cohort Studios,295
Pyro Studios,296
Nobilis,297
Genki,298
Digital Illusions,299
Take-Two Interactive,300
Ubisoft Porto Alegre,301
GRIN,302
"Machatin, Inc.",303
Black Box,304
Ubisoft Romania,305
Trion Worlds,306
Barnhouse Effect,307
3d6 Games,308
Wow Entertainment,309
Navarre Corp,310
